Date/Time,PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly)
 01/21  24:00:00,12922979.45585443,0.0,16392236.986777913,0.0,10435123.37571471,0.0,15696764.432717996,0.0,10425151.043854339,0.0
 07/21  01:00:00,1238810.827332885,5604377.799751367,970411.3685323229,4120558.9521357978,1191564.5876747138,4069178.91446173,990790.0308723697,4153003.313745275,1033994.8259609409,3844864.7602908497
 07/21  02:00:00,1548513.5341661098,6534469.508856188,1213014.2106654063,4809243.332677611,953251.6701397775,3162575.6622708209,1238487.538590463,4870668.688570153,954456.7624254865,3536850.0336960286
 07/21  03:00:00,1238810.8273328809,5716417.462265821,970411.3685323265,4120301.56212747,1191564.587674716,4058867.438358804,990790.0308723702,4185195.9984651918,1193070.9530318585,4504263.062899433
 07/21  04:00:00,1548513.5341661028,6602826.01228342,1213014.2106654079,4732156.469542877,953251.6701397728,3080681.2031608896,1238487.538590467,4826250.619382738,954456.7624254844,3402502.3074425228
 07/21  05:00:00,1238810.8273328825,5663509.629664373,970411.3685323226,3969194.245769523,1191564.5876747173,3888823.8873664,990790.0308723718,4057667.377528155,1193070.9530318555,4281093.044598557
 07/21  06:00:00,1548513.5341661003,6644648.950091977,1213014.210665407,4624520.087207467,953251.6701397771,2989216.2182828837,1238487.53859046,4753333.450913608,954456.762425483,3260747.760064018
 07/21  07:00:00,1858216.240999328,24773727.843022977,1455617.0527984866,18879554.483389606,1429877.5052096595,15261260.402643543,1486185.0463085564,19193806.153512088,1431685.1436382267,13202322.131162497
 07/21  08:00:00,1858216.240999326,22446637.11376514,1455617.0527984887,17773553.700384957,1429877.5052096602,16767706.848646302,1486185.046308553,17863570.577014988,1431685.1436382272,11734263.141518277
 07/21  09:00:00,1858216.2409993266,23705654.69202012,1455617.0527984875,19207022.119120607,1429877.5052096609,18337710.46946969,1486185.0463085569,19056113.961467364,1431685.1436382277,12546224.6295803
 07/21  10:00:00,1858216.2409993234,24254330.513107066,1455617.0527984875,19823431.329000765,1429877.5052096607,18110844.78087294,1486185.0463085576,19630645.256663778,1431685.1436382295,12946987.658492946
 07/21  11:00:00,1858216.240999325,24549951.83676071,1455617.0527984868,20296580.577089937,1429877.5052096595,16087185.544080973,1486185.0463085578,20017012.55450492,1431685.14363823,13233335.946482236
 07/21  12:00:00,1858216.2409993255,24730876.096866687,1455617.0527984882,20681907.87488388,1429877.5052096626,14513037.497723336,1486185.0463085557,20273995.70722745,1431685.1436382277,13422535.463642143
 07/21  13:00:00,1858216.240999329,24913510.526232035,1455617.052798487,21040221.04043616,1429877.5052096628,14369577.713809018,1486185.0463085557,20482443.511964684,1431685.1436382277,13549295.506032672
 07/21  14:00:00,1858216.2409993304,25022747.452186943,1455617.0527984915,21268512.3611808,1429877.5052096565,14436928.180697903,1486185.0463085569,20664878.120947668,1431685.1436382284,13643842.12573089
 07/21  15:00:00,1858216.2409993257,24890049.860254669,1455617.052798488,21329242.60023053,1429877.5052096637,14450297.41045225,1486185.0463085585,20745825.090090094,1431685.1436382267,14468499.970910114
 07/21  16:00:00,1858216.240999329,24650801.69351802,1455617.0527984906,21226849.899756038,1429877.5052096619,14313191.586237545,1486185.0463085557,20679276.975475648,1431685.143638229,17095905.200724845
 07/21  17:00:00,1858216.2409993245,24461722.165237108,1455617.0527984878,20995118.877017425,1429877.5052096565,14039926.776517932,1486185.046308557,20493005.311104124,1431685.1436382272,18699116.638870237
 07/21  18:00:00,1858216.2409993257,24091748.054731758,1455617.0527984868,20667823.779598699,1429877.5052096579,13660644.618372208,1486185.0463085552,20170969.93393298,1431685.1436382286,19130719.99639163
 07/21  19:00:00,1858216.2409993243,23662133.377918707,1455617.0527984887,19967760.51462642,1429877.5052096614,13157828.732442562,1486185.046308555,19665968.93843186,1431685.143638229,17889762.144567595
 07/21  20:00:00,1858216.2409993248,22978911.22671262,1455617.0527984889,18844475.773518564,1429877.5052096602,12570958.668708908,1486185.0463085564,18758749.75751474,1431685.143638228,14484212.802806883
 07/21  21:00:00,1858216.2409993225,22271823.459682529,1455617.0527984894,18028169.645115634,1429877.5052096593,12109368.64497367,1486185.0463085573,17839823.169895237,1431685.1436382277,12755098.928385757
 07/21  22:00:00,1858216.2409993266,21808260.58961296,1455617.052798486,17547244.53114795,1429877.505209661,11784967.405038175,1486185.046308554,17399831.243220834,1431685.1436382258,12353190.564753034
 07/21  23:00:00,0.0,0.0,0.0,0.0,476625.8350698876,1395237.7255820097,0.0,0.0,715842.5718191133,2114630.8701123439
