,Load [W],Mass Flow Rate [kg/s]
2018-01-01 05:53:00,0.0,0.1
2018-01-01 05:54:00,0.0,0.1
2018-01-01 05:55:00,0.0,0.1
2018-01-01 05:56:00,0.0,0.1
2018-01-01 05:57:00,0.0,0.1
2018-01-01 05:58:00,0.0,0.1
2018-01-01 05:59:00,0.0,0.1
2018-01-01 06:00:00,0.0,0.1
2018-01-01 06:01:00,0.0,0.1
2018-01-01 06:02:00,0.0,0.1
2018-01-01 06:03:00,0.0,0.1
2018-01-01 06:04:00,0.0,0.1
2018-01-01 06:05:00,0.0,0.1
2018-01-01 06:06:00,0.0,0.1
2018-01-01 06:07:00,0.0,0.1
2018-01-01 06:08:00,0.0,0.1
2018-01-01 06:09:00,0.0,0.1
2018-01-01 06:10:00,0.0,0.1
2018-01-01 06:11:00,0.0,0.1
2018-01-01 06:12:00,0.0,0.1
2018-01-01 06:13:00,0.0,0.1
2018-01-01 06:14:00,0.0,0.1
2018-01-01 06:15:00,0.0,0.1
2018-01-01 06:16:00,0.0,0.1
2018-01-01 06:17:00,0.0,0.1
2018-01-01 06:18:00,0.0,0.1
2018-01-01 06:19:00,0.0,0.1
2018-01-01 06:20:00,0.0,0.1
2018-01-01 06:21:00,0.0,0.1
2018-01-01 06:22:00,0.0,0.1
2018-01-01 06:23:00,0.0,0.1
2018-01-01 06:24:00,0.0,0.1
2018-01-01 06:25:00,0.0,0.1
2018-01-01 06:26:00,0.0,0.1
2018-01-01 06:27:00,0.0,0.1
2018-01-01 06:28:00,0.0,0.1
2018-01-01 06:29:00,0.0,0.1
2018-01-01 06:30:00,-172.20343784939442,0.1
2018-01-01 06:31:00,-328.93394626039503,0.1
2018-01-01 06:32:00,-184.9952125230001,0.1
2018-01-01 06:33:00,45.938670721000946,0.1
2018-01-01 06:34:00,272.04111433615776,0.1
2018-01-01 06:35:00,460.38502681524153,0.1
2018-01-01 06:36:00,518.5369497779626,0.1
2018-01-01 06:37:00,896.9685447657741,0.1
2018-01-01 06:38:00,1045.3849468497024,0.1
2018-01-01 06:39:00,1088.5580232778632,0.1
2018-01-01 06:40:00,1057.049594621639,0.1
2018-01-01 06:41:00,287.5310317806151,0.1
2018-01-01 06:42:00,-41.40115305219639,0.1
2018-01-01 06:43:00,-126.40981359664246,0.1
2018-01-01 06:44:00,-183.8924540338261,0.1
2018-01-01 06:45:00,-207.87067146702222,0.1
2018-01-01 06:46:00,0.0,0.1
2018-01-01 06:47:00,0.0,0.1
2018-01-01 06:48:00,0.0,0.1
2018-01-01 06:49:00,0.0,0.1
2018-01-01 06:50:00,0.0,0.1
2018-01-01 06:51:00,0.0,0.1
2018-01-01 06:52:00,0.0,0.1
2018-01-01 06:53:00,0.0,0.1
2018-01-01 06:54:00,-166.90723866980537,0.1
2018-01-01 06:55:00,-287.8876160582359,0.1
2018-01-01 06:56:00,-32.89115408647335,0.1
2018-01-01 06:57:00,334.528587324775,0.1
2018-01-01 06:58:00,565.8806853915463,0.1
2018-01-01 06:59:00,767.3481212750113,0.1
2018-01-01 07:00:00,878.8525784053608,0.1
2018-01-01 07:01:00,1052.424660854965,0.1
2018-01-01 07:02:00,995.5384358250886,0.1
2018-01-01 07:03:00,970.4002070610692,0.1
2018-01-01 07:04:00,979.1534126958919,0.1
2018-01-01 07:05:00,327.3905765866821,0.1
2018-01-01 07:06:00,64.9268911163275,0.1
2018-01-01 07:07:00,-9.056694964395794,0.1
2018-01-01 07:08:00,-75.70139052583484,0.1
2018-01-01 07:09:00,-82.41327247136566,0.1
2018-01-01 07:10:00,0.0,0.1
2018-01-01 07:11:00,0.0,0.1
2018-01-01 07:12:00,0.0,0.1
2018-01-01 07:13:00,0.0,0.1
2018-01-01 07:14:00,0.0,0.1
2018-01-01 07:15:00,0.0,0.1
2018-01-01 07:16:00,0.0,0.1
2018-01-01 07:17:00,0.0,0.1
2018-01-01 07:18:00,-168.2011147724896,0.1
2018-01-01 07:19:00,-254.415672256957,0.1
2018-01-01 07:20:00,240.48922772005466,0.1
2018-01-01 07:21:00,711.1109204455797,0.1
2018-01-01 07:22:00,984.5997463412882,0.1
2018-01-01 07:23:00,1036.8770299992261,0.1
2018-01-01 07:24:00,980.6637474805216,0.1
2018-01-01 07:25:00,1241.0242927614568,0.1
2018-01-01 07:26:00,1368.0357698439361,0.1
2018-01-01 07:27:00,1582.157284952393,0.1
2018-01-01 07:28:00,1349.8147591638701,0.1
